,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9879919946631087,0.11649214659685864,0.9081632653061225,0.20649651972157773,0.9761260845784572
Random Forest,0.999385555282469,0.8247422680412371,0.8163265306122449,0.8205128205128205,0.9832555190759478
XGBoost,0.9993679997191109,0.7980769230769231,0.8469387755102041,0.8217821782178217,0.9813701577986287
